id,full_name,year_make,year_use,cost,sp_use_method_id,sp_direct_use_id,sp_country_id,sp_yes_no_id,sp_vuz_id
554,Перчаточный бокс с\nуправляемой атмосферой в\nкомплекте с датчиком\nкислорода 800-ОА .,2013,2014,694.8,6,1,143,1,117
555,3-D сканирующий лазерный\nконфокальный микроскоп\nИнтегра Спектра Раман.,2013,2013,5500.0,3,2,140,1,117
556,Спектрометрический\nкомплекс комбинационного\nрассеяния DXR Smart Raman\nResearch.,2013,2014,5655.2,6,2,143,1,117
557,Атомно-абсорбционный\nспектрометр МГА-915МД.,2013,2014,1432.7,6,2,140,1,117
558,"Спектрометр-радиометр\nгамма-, бета- и\nальфа-излучения МКГБ-01\n\""РАДЭК\"".",2013,2014,850.0,6,2,140,1,117
559,Спектрометрический\nкомплекс на основе\nмонохроматора МДР-41.,2013,2014,726.48,6,2,140,1,117
560,Флуориметрический\nанализатор жидкости\nФлюорат-02-3М.,2013,2014,450.0,6,2,140,1,117
561,"Спектрометрический\nкомплекс для измерений\nальфа- и бета-излучений\nМКС-01А \""МУЛЬТИРАД\"".",2013,2014,200.575,6,2,140,1,117
562,Учебно-исследовательская\nлаборатория по аквакультуре.,2013,2014,4789.2,6,3,140,1,117
563,ПЦР-лаборатория.,2011,2012,2760.0,6,3,140,1,117
564,Учебно-научная лаборатория\nклеточной инженерии.,2012,2013,2200.0,6,3,140,1,117
565,Учебно-научная лаборатория\nпо общей биологии.,2012,2013,1140.0,6,3,140,1,117
566,"Учебно-демонстрационные\nстенды по\nэнергоэффективности и\nэнергосбережению \""Три «Э\"":\nЭнергия, Эффективность,\nЭкология\"".",2012,2013,2949.58,8,3,140,1,117
567,Учебно-научная лаборатория\nпо возобновляемым\nисточникам энергии.,2013,2013,2062.0,8,3,140,1,117
568,Учебно-научный\nлабораторный комплекс по\nинформатике и\nинформационным\nтехнологиям.,2012,2013,1765.14,7,3,140,1,117
569,Учебный лабораторный\nкомплекс по\nкриминалистике.,2012,2013,1890.89,8,3,140,1,117
570,Учебно-научная лаборатория\nпо экологической химии.,2011,2011,321.5,8,3,140,1,117
571,Учебно-научный\nлабораторный комплекс по\nфизхимии и биохимии.,2014,2014,550.0,6,3,45,1,117
572,Учебно-научный\nлабораторный комплекс по\nфизическому практикуму.,2014,2014,951.59,8,3,140,1,117
573,Учебно-научный\nлабораторный комплекс по\nисследованию свойств\nматериалов.,2014,2014,882.75,8,3,166,1,117
574,Мультимедийный и\nинтерактивный комплекс.,2014,2014,863.724,8,4,140,1,117
580,"К-т оборудов. Для лабор-й физики, химии и биологии профил.вузов в обл. нанотехнол",2008,2008,2611.0,3,1,140,2,51
581,Сканирующий зондовый микроскоп Solver Pro,2005,2005,3402.0,3,1,140,2,51
582,Установка синтеза углеродных нанотрубок CVDomna,2008,2008,1000.0,6,1,140,2,51
583,"Комплекс аппаратно-программный для химических исследований на базе хроматографа \""Хроматэк-Кристалл 5000\""",2012,2012,1300.0,7,1,140,2,51
584,Фурье-спектрометр инфракрасный ФСМ1202,2008,2008,1296.0,6,1,140,2,51
585,Рентгеновский дифрактометр Thermo ARL X’TRA\n(фирма производитель: Thermo Fisher Scientifics)\n,2007,2007,12500.0,4,1,193,1,6
586,ИК-Фурье спектрометр Vertex 70\n(фирма производитель: Bruker Optik GmbH)\n,2006,2006,4600.0,5,1,45,1,6
587,ИК-Фурье спектрометр MPA\n(фирма производитель: Bruker Optik GmbH)\n,2006,2006,3100.0,5,1,45,1,6
588,Спектрофотометр Lambda 650 с Модулем URA\n(фирма производитель: Perkin Elmer)\n,2006,2006,1350.0,5,1,143,1,6
589,Электронный микроскоп JSM-6380LV\n(фирма производитель: JEOL Ltd.)\n,2004,2004,4800.0,2,1,204,1,6
590,Электронный микроскоп JSM-6510LV\n(фирма производитель: JEOL Ltd.)\n,2009,2009,11200.0,2,1,204,1,6
591,Система микроанализа INCA Energy 250\n(фирма производитель: Oxford Instruments)\n,2005,2005,2700.0,8,1,31,1,6
592,Оже электронный спектрометр DESA-100\n(фирма производитель: Staib Instrument)\n,2007,2007,1500.0,8,1,45,1,6
593,Атомно-силовой микроскоп SOLVER P47\n(фирма производитель: NT-MDT)\n,2006,2006,2100.0,3,1,140,1,6
594,Спектрометр универсальный рентгеновский СУР «Реном»-01\n(фирма производитель: ЗАО НТЦ «Экспертцентр»)\n,2006,2006,2600.0,4,1,140,1,6
595,Установка ядерной гамма спектроскопии SМ 1101\n(фирма производитель: Институт аналитического приборостроения РАН)\n,2008,2008,1000.0,8,1,140,1,6
596,Многофункциональный калибратор Fluke 5520 A\n(фирма производитель: Fluke)\n,2010,2010,1300.0,5,1,143,1,6
597,Просвечивающий электронный микроскоп Libra 120\n(фирма производитель: Carl Zeiss)\n,2012,2012,29600.0,2,1,45,1,6
598,Рентгеновский дифрактометр Empyrean B.V.\n(фирма производитель: PANalytica)\n,2013,2013,10500.0,4,1,122,1,6
599,Волновой рентгенофлуоресцентный спектрометр S8 Tiger\n(фирма производитель: Bruker)\n,2013,2013,9400.0,4,1,45,1,6
600,Комплект спектрометра атомно-абсорбционного КВАНТ-Z.ЭТА-1\n(фирма производитель: ООО «Кортэк»)\n,2012,2012,1000.0,8,1,140,1,6
601,Комплекс-ВЭЖХ системы с время-пролетным масс-спектрометром Agilent 6230\n(фирма производитель: Agilent Technologies)\n,2013,2013,12300.0,8,1,143,1,6
602,Система для высокопроизводительного секвенирования ДНК в комплекте Ion Personal Genome Mashine\n(фирма производитель: Ion Torren)\n,2013,2013,5100.0,8,1,143,1,6
603,Прибор для проведения ПЦР в реальном времени Chromo 4\n(фирма производитель: BioRad)\n,2006,2006,1300.0,8,1,143,1,6
604,"Установка для испытания материалов в условиях вакуума и ультрафиолетового излучения\n(фирма производитель: ООО «Вакуумные системы иэлектроника», Anest Iwata)\n",2014,2014,2500.0,1,1,204,1,6
605,"Аппаратно-программный комплекс для производства наночастиц на основе липосом\n(фирма производитель: Nikon, Thermo Scientific, Polygen, EMDMillipore)\n",2014,2014,20800.0,7,1,204,1,6
606,Станция вестерн-блоттинга Amersham Imager 600\n(фирма производитель: GE Healthcare)\n,2014,2014,1400.0,8,1,143,1,6
607,Газовый хроматограф Agilent 7890B/5977A\n(фирма производитель: Agilent Technologies)\n,2013,2013,1200.0,8,1,143,1,6
608,Система энергодисперсионного анализа X-flash\n(фирма производитель: ) Bruker\n,2009,2009,1900.0,8,1,45,1,6
609,Установка для нанесения ультратонких слоев Плазма 50-СЭ,2007,2007,1950.0,8,1,140,1,6
628,Сканирующий электронный микроскоп Quanta200,2005,2005,9885.0,2,1,122,1,243
629,Энергодисперсионный рентгенофлуоресцентный спектрометр ARL QUANT’X,2010,2011,4432.0,4,1,143,1,243
630,Газовый хромато-масс-спектрометр Agilent 7890A с масс-селективным квадрупольным детектором MSD 5975С,2010,2011,3999.0,4,1,143,1,243
631,ИК-Фурье спектрометр \nVarian 640\n,2010,2011,2869.0,5,1,143,1,243
632,Порошковый рентгеновский дифрактометр ARL X’TRA,2012,2012,16351.0,4,1,193,1,243
633,Жидкостной хроматограф Agilent  мод. 1260 Infinity LC с диодно-матричным детектором,2014,2015,3500.0,1,1,143,1,243
634,Нанотвердомер,2009,2009,20340.0,8,2,31,2,120
635,Оптико-эмиссионный анализатор Quantron Magellan Q8,2009,2009,4562.0,8,2,45,2,120
636,Дисковая центрифуга CPS Disk Centrifuge DC24000,2008,2008,4000.0,8,2,122,2,120
637,Сканирующий туннельный микроскоп Phywe,2009,2009,3000.0,3,2,45,2,120
